"receita";"uniorcam";"orcado";"arrecadado";"recurso_vinculado";"especificacao";"tipo_nivel";"nivel";"caracteristica_peculiar_receita";"previsao_atualizada";"complemento_recurso_vinculado";"exercicio_base"
"00000169099000000000";"0201";48096,85;0;0;"Outros Servicos";"S";5;0;48096,85;NA;2018
"00000169099100000000";"0201";48096,85;0;0;"Outros Servicos";"S";6;0;48096,85;NA;2018
"00000169099110000000";"0201";48096,85;0;1;"Outros Servicos - Principal";"A";6;0;48096,85;NA;2018
"00000170000000000000";"0201";21337504,51;22366515,9;0;"Transferencias Correntes";"S";2;0;22234610,05;NA;2018
"00000171000000000000";"0201";9824004,92;10001490,31;0;"Transferencias da Uniao e de suas Entidades";"S";3;0;10393629,92;NA;2018
"00000171800000000000";"0201";9824004,92;10001490,31;0;"Transferencias da Uniao - Especifica E/M";"S";4;0;10393629,92;NA;2018
"00000171801000000000";"0201";8484913,25;8063854,06;0;"Participacao na Receita da Uniao";"S";5;0;8484913,25;NA;2018
"00000171801200000000";"0201";7827786,25;7413358,43;0;"Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal";"S";6;0;7827786,25;NA;2018
"00000171801210000000";"0201";7827786,25;7413358,43;0;"Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal - Principal";"S";6;0;7827786,25;NA;2018
"00000171801210100000";"0201";4696671,75;4448015,04;1;"Cota-Parte do FPM - Cota Mensal - Principal - PROPRIO";"A";7;0;4696671,75;NA;2018
"00000171801210200000";"0201";391389,31;370667,93;20;"Cota-Parte do FPM - Cota Mensal - Principal - MDE";"A";7;0;391389,31;NA;2018
"00000171801210300000";"0201";1174167,94;1112003,78;40;"Cota-Parte do FPM - Cota Mensal - Principal - ASPS";"A";7;0;1174167,94;NA;2018
"00000171801210400000";"0201";1565557,25;1482671,68;31;"Cota-Parte do FPM - Cota Mensal - Principal - FUNDEB";"A";7;0;1565557,25;NA;2018
"00000171801300000000";"0201";330256;329256,07;0;"Cota-Parte do Fundo de Participacao do Municipios – 1% Cota entregue no mes de dezembro";"S";6;0;330256;NA;2018
"00000171801310000000";"0201";330256;329256,07;0;"Cota-Parte do Fundo de Participacao do Municipios – 1% Cota entregue no mes de dezembro - Principal";"S";6;0;330256;NA;2018
"00000171801310100000";"0201";198153,6;197553,64;1;"Cota-Parte do FPM – 1% Cota entregue no mes de dezembro - Principal - PROPRIO";"A";7;0;198153,6;NA;2018
"00000171801310200000";"0201";82564;82314,02;20;"Cota-Parte do FPM – 1% Cota entregue no mes de dezembro - Principal -  MDE";"A";7;0;82564;NA;2018
"00000171801310300000";"0201";49538,4;49388,41;40;"Cota-Parte do FPM – 1% Cota entregue no mes de dezembro - Principal - ASPS";"A";7;0;49538,4;NA;2018
"00000171801400000000";"0201";326871;321239,56;0;"Cota-Parte do Fundo de Participacao dos Municipios - 1% Cota entregue no mes de julho";"S";6;0;326871;NA;2018
"00000171801410000000";"0201";326871;321239,56;0;"Cota-Parte do Fundo de Participacao dos Municipios - 1% Cota entregue no mes de julho - Principal";"S";6;0;326871;NA;2018
"00000171801410100000";"0201";196122,6;192743,74;1;"Cota-Parte do FPM - 1% Cota entregue no mes de julho - Principal - PROPRIO";"A";7;0;196122,6;NA;2018
"00000171801410200000";"0201";81717,75;80309,89;20;"Cota-Parte do FPM - 1% Cota entregue no mes de julho - Principal -  MDE";"A";7;0;81717,75;NA;2018
"00000171801410300000";"0201";49030,65;48185,93;40;"Cota-Parte do FPM - 1% Cota entregue no mes de julho - Principal - ASPS";"A";7;0;49030,65;NA;2018
"00000171802000000000";"0201";82654,3;123309,59;0;"Transferencia da Compensacao Financeira pela Exploracao de Recursos Naturais";"S";5;0;82654,3;NA;2018
"00000171802600000000";"0201";82654,3;123309,59;0;"Cota-Parte do Fundo Especial do Petroleo – FEP";"S";6;0;82654,3;NA;2018
"00000171802610000000";"0201";82654,3;123309,59;1;"Cota-Parte do Fundo Especial do Petroleo – FEP - Principal";"A";6;0;82654,3;NA;2018
"00000171803000000000";"0201";780458,52;1196115,8;0;"Transferencia de Recursos do Sistema Unico de Saude – SUS – Repasses Fundo a Fundo";"S";5;0;1152210,65;NA;2018
"00000171803100000000";"0201";780458,52;1196115,8;0;"Transferencia de Recursos do Sistema Unico de Saude – SUS – Repasses Fundo a Fundo";"S";6;0;1152210,65;NA;2018
"00000171803110000000";"0201";780458,52;1196115,8;0;"Transferencia de Recursos do Sistema Unico de Saude – SUS – Repasses Fundo a Fundo - Principal";"S";6;0;1152210,65;NA;2018
"00000171803110100000";"0201";182391,96;185499,96;4510;"PAB FIXO";"A";7;0;182670,41;NA;2018
"00000171803110200000";"0201";133560;0;4520;"PSF FEDERAL";"A";7;0;138560;NA;2018
"00000171803110300000";"0201";212940;0;4520;"PACS FEDERAL";"A";7;0;212940;NA;2018
"00000171803110400000";"0201";53520;0;4520;"SAUDE BUCAL FEDERAL";"A";7;0;53520;NA;2018
"00000171803110500000";"0201";12000;0;4710;"PFVS PISO FIXO VIGILANCIA EM SAUDE FEDERAL";"A";7;0;12000;NA;2018
"00000171803110600000";"0201";34246,56;37637,03;4503;"FARMACIA BASICA FEDERAL";"A";7;0;37637,03;NA;2018
"00000171803110700000";"0201";52800;0;4521;"PMAQ";"A";7;0;52800;NA;2018
"00000171803110800000";"0201";96000;0;4520;"NASF";"A";7;0;96000;NA;2018
"00000171803110900000";"0201";3000;0;4520;"PSE PROGRAMA DE SAUDE NA ESCOLA";"A";7;0;3000;NA;2018
"00000171803111000000";"0201";0;573478,25;4520;"PAB VARIAVEL";"A";7;0;27000;NA;2018
"00000171803111100000";"0201";0;72428,77;4502;"VIGILANCIA EM SAUDE FEDERAL RV4502";"A";7;0;60765,63;NA;2018
"00000171803111200000";"0201";0;79281,32;4520;"Apoio Financeiro - Portaria MS n. 748/2018";"A";7;0;61487,68;NA;2018
"00000171803111300000";"0201";0;6622,47;4501;"MAC FF 4501";"A";7;0;8829,9;NA;2018
"00000171803111400000";"0201";0;0;4936;"AMBULANCIA PORT3673 RV4936";"A";7;0;0;NA;2018
"00000171803111500000";"0201";0;2e+05;4520;"INCREMENTO TEMPORARIO PISO AB EMENDA PARLAMENTAR PORT1000/18";"A";7;0;2e+05;NA;2018
"00000171803111600000";"0201";0;11000;4504;"EDUCACAO E FORMACAO EM SAUDE - GESTAO DO SUS FF";"A";7;0;0;NA;2018
"00000171803111700000";"0201";0;168;4501;"APOIO A IMPLEMENTACAO DA REDE CEGONHA MAC FF";"A";7;0;0;NA;2018
"00000171803111800000";"0201";0;6000;4502;"INCENTIVO FINANCEIRO PARA VISA RV4502";"A";7;0;5000;NA;2018
"00000171803112000000";"0201";0;24000;4503;"ORGANIZACAO FARMACIA BLOCO CUSTEIO RV 4503";"A";7;0;0;NA;2018
"00000171804000000000";"0201";89314,19;104129,3;0;"Transferencias de Recursos do Fundo Nacional de Assistencia Social – FNAS";"S";5;0;120064,19;NA;2018
"00000171804100000000";"0201";89314,19;104129,3;0;"Transferencias de Recursos do Fundo Nacional de Assistencia Social – FNAS";"S";6;0;120064,19;NA;2018
"00000171804110000000";"0201";89314,19;104129,3;0;"Transferencias de Recursos do Fundo Nacional de Assistencia Social – FNAS - Principal";"S";6;0;120064,19;NA;2018
"00000171804110100000";"0201";17696,01;16898,09;1038;"IGD BF";"A";7;0;17696,01;NA;2018
"00000171804110200000";"0201";4588,6;7434,8;1067;"IGD SUAS";"A";7;0;4588,6;NA;2018
"00000171804110300000";"0201";49779,58;31796,41;1021;"SCFV";"A";7;0;49779,58;NA;2018
"00000171804110400000";"0201";17250;48000;1064;"PAIF";"A";7;0;48000;NA;2018
"00000171805000000000";"0201";340453,28;395066,13;0;"Transferencias de Recursos do Fundo Nacional do Desenvolvimento da Educacao – FNDE";"S";5;0;388022,07;NA;2018
"00000171805100000000";"0201";230470,58;234733,74;0;"Transferencias do Salario-Educacao";"S";6;0;230470,58;NA;2018
"00000171805110000000";"0201";230470,58;234733,74;1014;"Transferencias do Salario-Educacao - Principal";"A";6;0;230470,58;NA;2018
"00000171805200000000";"0201";540;540;0;"Transferencias Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE";"S";6;0;540;NA;2018
"00000171805210000000";"0201";540;540;1036;"Transferencias Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal";"A";6;0;540;NA;2018
"00000171805300000000";"0201";61688;63436;0;"Transferencias Diretas do FNDE referentes ao Programa Nacional de Alimentacao Escolar – PNAE";"S";6;0;61688;NA;2018
"00000171805310000000";"0201";61688;63436;0;"Transferencias Diretas do FNDE referentes ao Programa Nacional de Alimentacao Escolar – PNAE - Princ";"S";6;0;61688;NA;2018
"00000171805310100000";"0201";24408;25200;1001;"PNAE FUNDAMENTAL";"A";7;0;24408;NA;2018
"00000171805310200000";"0201";22684;22898;1031;"PNAE CRECHE";"A";7;0;22684;NA;2018
"00000171805310300000";"0201";12932;12932;1033;"PNAE PRE-ESCOLA";"A";7;0;12932;NA;2018
"00000171805310400000";"0201";1664;1664;1059;"PNAE EJA";"A";7;0;1664;NA;2018
"00000171805310500000";"0201";0;742;1071;"PNAE EDUCACAO ESPECIAL";"A";7;0;0;NA;2018
"00000171805400000000";"0201";47754,7;48787,6;0;"Transferencias Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar – P";"S";6;0;47754,7;NA;2018
"00000171805410000000";"0201";47754,7;48787,6;1016;"Transferencias Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar – P";"A";6;0;47754,7;NA;2018
"00000171805900000000";"0201";0;47568,79;0;"Outras Transferencias Diretas do Fundo Nacional do Desenvolvimento da Educacao – FNDE";"S";6;0;47568,79;NA;2018
"00000171805910000000";"0201";0;47568,79;0;"Outras Transferencias Diretas do Fundo Nacional do Desenvolvimento da Educacao – FNDE - Principal";"S";6;0;47568,79;NA;2018
"00000171805910100000";"0201";0;47568,79;1072;"Apoio Financeiro AFM - Resolucao FNDE 11/2018";"A";7;0;47568,79;NA;2018
"00000171806000000000";"0201";46211,38;45260,43;0;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96";"S";5;0;46211,38;NA;2018
"00000171806100000000";"0201";46211,38;45260,43;0;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96";"S";6;0;46211,38;NA;2018
"00000171806110000000";"0201";46211,38;45260,43;0;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96 - Principal";"S";6;0;46211,38;NA;2018
"00000171806110100000";"0201";27726,82;27156,28;1;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96 - Principal - PROPRIO";"A";7;0;27726,82;NA;2018
"00000171806110200000";"0201";2310,57;2262,98;20;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96 - Principal - MDE";"A";7;0;2310,57;NA;2018
"00000171806110300000";"0201";6931,71;6789,04;40;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96 - Principal - ASPS";"A";7;0;6931,71;NA;2018
"00000171806110400000";"0201";9242,28;9052,13;31;"Transferencia Financeira do ICMS – Desoneracao – L.C. No 87/96 - Principal - FUNDEB";"A";7;0;9242,28;NA;2018
"00000171810000000000";"0201";0;73755;0;"Transferencias de Convenios da Uniao e de Suas Entidades";"S";5;0;119554,08;NA;2018
"00000171810900000000";"0201";0;73755;0;"Outras Transferencias de Convenios da Uniao";"S";6;0;119554,08;NA;2018
"00000171810910000000";"0201";0;73755;0;"Outras Transferencias de Convenios da Uniao - Principal";"S";6;0;119554,08;NA;2018
"00000171810910100000";"0201";0;73755;1022;"REFORMA E AMPLICACAO DA QUADRA DE ESPORTES NA PRACA JOAO SAFFI RV1022";"A";7;0;119554,08;NA;2018
"00000172000000000000";"0201";8842761,21;9516797,68;0;"Transferencias dos Estados e do Distrito Federal e de suas Entidades";"S";3;0;9130241,75;NA;2018
"00000172800000000000";"0201";8842761,21;9516797,68;0;"Transferencias dos Estados - Especifica E/M";"S";4;0;9130241,75;NA;2018
"00000172801000000000";"0201";8256435,53;8828243,6;0;"Participacao na Receita dos Estados";"S";5;0;8415415,24;NA;2018
"00000172801100000000";"0201";7670912,64;8131358,01;0;"Cota-Parte do ICMS";"S";6;0;7670912,64;NA;2018
"00000172801110000000";"0201";7670912,64;8131358,01;0;"Cota-Parte do ICMS - Principal";"S";6;0;7670912,64;NA;2018
"00000172801110100000";"0201";4602547,58;4878814,7;1;"Cota-Parte do ICMS - Principal - PROPRIO";"A";7;0;4602547,58;NA;2018
"00000172801110200000";"0201";383545,63;406567,92;20;"Cota-Parte do ICMS - Principal - MDE";"A";7;0;383545,63;NA;2018
"00000172801110300000";"0201";1150636,9;1219703,72;40;"Cota-Parte do ICMS - Principal- ASPS";"A";7;0;1150636,9;NA;2018
"00000172801110400000";"0201";1534182,53;1626271,67;31;"Cota-Parte do ICMS - Principal - FUNDEB";"A";7;0;1534182,53;NA;2018
"00000172801200000000";"0201";459939,84;562316,45;0;"Cota-Parte do IPVA";"S";6;0;613319,55;NA;2018
"00000172801210000000";"0201";459939,84;562316,45;0;"Cota-Parte do IPVA - Principal";"S";6;0;613319,55;NA;2018
"00000172801210100000";"0201";275963,9;337389,58;1;"Cota-Parte do IPVA - Principal - PROPRIO";"A";7;0;398143,61;NA;2018
"00000172801210200000";"0201";22996,99;28115,89;20;"Cota-Parte do IPVA - Principal - MDE";"A";7;0;30596,99;NA;2018
"00000172801210300000";"0201";68990,98;84347,48;40;"Cota-Parte do IPVA - Principal - ASPS";"A";7;0;92590,98;NA;2018
"00000172801210400000";"0201";91987,97;112463,5;31;"Cota-Parte do IPVA - Principal - FUNDEB";"A";7;0;91987,97;NA;2018
"00000172801300000000";"0201";107634,83;118765,33;0;"Cota-Parte do IPI - Municipios";"S";6;0;113234,83;NA;2018
"00000172801310000000";"0201";107634,83;118765,33;0;"Cota-Parte do IPI - Municipios - Principal";"S";6;0;113234,83;NA;2018
"00000172801310100000";"0201";64580,9;71259,16;1;"Cota-Parte do IPI - Municipios - Principal - PROPRIO";"A";7;0;68580,9;NA;2018
"00000172801310200000";"0201";5381,74;5938,29;20;"Cota-Parte do IPI - Municipios - Principal - MDE";"A";7;0;5681,74;NA;2018
"00000172801310300000";"0201";16145,22;17814,82;40;"Cota-Parte do IPI - Municipios - Principal - ASPS";"A";7;0;17445,22;NA;2018
"00000172801310400000";"0201";21526,97;23753,06;31;"Cota-Parte do IPI - Municipios - Principal - FUNDEB";"A";7;0;21526,97;NA;2018
"00000172801400000000";"0201";17948,22;15803,81;0;"Cota-Parte da Contribuicao de Intervencao no Dominio Economico";"S";6;0;17948,22;NA;2018
"00000172801410000000";"0201";17948,22;15803,81;1018;"Cota-Parte da Contribuicao de Intervencao no Dominio Economico - Principal";"A";6;0;17948,22;NA;2018
"00000172803000000000";"0201";255573,58;381893,04;0;"Transferencia de Recursos do Estado para Programas de Saude – Repasse Fundo a Fundo";"S";5;0;384074,41;NA;2018
"00000172803100000000";"0201";255573,58;381893,04;0;"Transferencia de Recursos do Estado para Programas de Saude – Repasse Fundo a Fundo";"S";6;0;384074,41;NA;2018
"00000172803110000000";"0201";255573,58;381893,04;0;"Transferencia de Recursos do Estado para Programas de Saude – Repasse Fundo a Fundo - Principal";"S";6;0;384074,41;NA;2018
"00000172803110100000";"0201";72692;105563,98;4011;"PIES";"A";7;0;105203,98;NA;2018
"00000172803110200000";"0201";95000;155000;4090;"PSF ESTADUAL";"A";7;0;154931,15;NA;2018
"00000172803110300000";"0201";14196;14931,15;4090;"PACS ESTADUAL";"A";7;0;14196;NA;2018
"00000172803110400000";"0201";49685,58;13866,51;4050;"FARMACIA BASICA ESTADUAL";"A";7;0;49685,58;NA;2018
"00000172803110500000";"0201";24000;24000;4160;"PIM";"A";7;0;24000;NA;2018
"00000172803110600000";"0201";0;68381,4;4050;"FRALDAS FE";"A";7;0;35907,7;NA;2018
"00000172803110700000";"0201";0;150;4011;"INCENTIVO P/ CONTROLE DA TUBERCULOSE (PMCT) NA ATENCAO BASICA 4011 FE RES CIBS 507/11";"A";7;0;150;NA;2018
"00000172810000000000";"0201";330091,58;306551,37;0;"Transferencia de Convenios dos Estados e do Distrito Federal e de Suas Entidades";"S";5;0;330091,58;NA;2018
"00000172810200000000";"0201";322559,28;299019,07;0;"Transferencias de Convenio dos Estados Destinadas a Programas de Educacao";"S";6;0;322559,28;NA;2018
"00000172810210000000";"0201";322559,28;299019,07;0;"Transferencias de Convenio dos Estados Destinadas a Programas de Educacao - Principal";"S";6;0;322559,28;NA;2018
"00000172810210100000";"0201";322559,28;299019,07;0;"Transferencias de Convenios para o Transporte Escolar - Principal";"S";7;0;322559,28;NA;2018
"00000172810210101000";"0201";322559,28;299019,07;1017;"PEATE RS";"A";8;0;322559,28;NA;2018
"00000172810900000000";"0201";7532,3;7532,3;0;"Outras Transferencias de Convenio dos Estados";"S";6;0;7532,3;NA;2018
"00000172810910000000";"0201";7532,3;7532,3;0;"Outras Transferencias de Convenio dos Estados - Principal";"S";6;0;7532,3;NA;2018
"00000172810910700000";"0201";7532,3;7532,3;1103;"Programa OASF - Orientacao e Apoio Socio-familiar - Principal";"A";7;0;7532,3;NA;2018
"00000172899000000000";"0201";660,52;109,67;0;"Outras Transferencias dos Estados";"S";5;0;660,52;NA;2018
"00000172899100000000";"0201";660,52;109,67;0;"Outras Transferencias dos Estados";"S";6;0;660,52;NA;2018
"00000172899110000000";"0201";660,52;109,67;0;"Outras Transferencias dos Estados - Principal";"S";6;0;660,52;NA;2018
"00000172899110100000";"0201";660,52;109,67;1114;"Cota-Parte das Multas de Transito - Principal";"A";7;0;660,52;NA;2018
"00000174000000000000";"0201";0;6720,46;0;"Transferencias de Instituicoes Privadas";"S";3;0;0;NA;2018
"00000174000100000000";"0201";0;6720,46;0;"Transferencias de Instituicoes Privadas";"S";6;0;0;NA;2018
"00000174000110000000";"0201";0;6720,46;0;"Transferencias de Instituicoes Privadas - Principal";"S";6;0;0;NA;2018
"00000174000110100000";"0201";0;6720,46;1050;"Doacoes em Beneficio de Criancas e Adolescentes - PJ - Principal";"A";7;0;0;NA;2018
"00000175000000000000";"0201";2670738,38;2841507,45;0;"Transferencias de Outras Instituicoes Publicas";"S";3;0;2710738,38;NA;2018
"00000175800000000000";"0201";2670738,38;2841507,45;0;"Transferencias de Outras Instituicoes Publicas - Especifica E/M";"S";4;0;2710738,38;NA;2018
"00000175801000000000";"0201";2670738,38;2840000,9;0;"Transferencias de Recursos do Fundo de Manutencao e Desenvolvimento da Educacao Basica e de Valoriza";"S";5;0;2710738,38;NA;2018
"00000175801100000000";"0201";2670738,38;2840000,9;0;"Transferencias de Recursos do Fundo de Manutencao e Desenvolvimento da Educacao Basica e de Valoriza";"S";6;0;2710738,38;NA;2018
"00000175801110000000";"0201";2670738,38;2840000,9;31;"Transferencias de Recursos do FUNDEB";"A";6;0;2710738,38;NA;2018
"00000175899000000000";"0201";0;1506,55;0;"Outras Transferencias Multigovernamentais";"S";5;0;0;NA;2018
"00000175899100000000";"0201";0;1506,55;0;"Outras Transferencias Multigovernamentais";"S";6;0;0;NA;2018
"00000175899110000000";"0201";0;1506,55;0;"Outras Transferencias Multigovernamentais - Principal";"S";6;0;0;NA;2018
"00000175899110100000";"0201";0;1506,55;1;"IRRF PELO COFRON RATEADO AOS MUNICIPIOS PARTICIPES";"A";7;0;0;NA;2018
"00000190000000000000";"0201";66813,89;187099,73;0;"Outras Receitas Correntes";"S";2;0;66813,89;NA;2018
"00000191000000000000";"0201";0;366,97;0;"Multas Administrativas, Contratuais e Judiciais";"S";3;0;0;NA;2018
"00000191001000000000";"0201";0;305,37;0;"Multas Previstas em Legislacao Especifica";"S";5;0;0;NA;2018
"00000191001100000000";"0201";0;305,37;0;"Multas Previstas em Legislacao Especifica";"S";6;0;0;NA;2018
"00000191001140000000";"0201";0;305,37;1;"Multas Previstas em Legislacao Especifica - Divida Ativa - Multas e Juros";"A";6;0;0;NA;2018
"00000191009000000000";"0201";0;61,6;0;"Multas e Juros Previstos em Contratos";"S";5;0;0;NA;2018
"00000191009100000000";"0201";0;61,6;0;"Multas e Juros Previstos em Contratos";"S";6;0;0;NA;2018
"00000191009110000000";"0201";0;61,6;1;"Multas e Juros Previstos em Contratos - Principal";"A";6;0;0;NA;2018
"00000192000000000000";"0201";6445,52;130386,78;0;"Indenizacoes, Restituicoes e Ressarcimentos";"S";3;0;6445,52;NA;2018
"00000192100000000000";"0201";0;1631,36;0;"Indenizacoes";"S";4;0;0;NA;2018
"00000192199000000000";"0201";0;1631,36;0;"Outras Indenizacoes";"S";5;0;0;NA;2018
"00000192199100000000";"0201";0;1631,36;0;"Outras Indenizacoes";"S";6;0;0;NA;2018
"00000192199110000000";"0201";0;1631,36;1;"Outras Indenizacoes - Principal";"A";6;0;0;NA;2018
"00000192200000000000";"0201";6445,52;128755,42;0;"Restituicoes";"S";4;0;6445,52;NA;2018
"00000192206000000000";"0201";0;4463,01;0;"Restituicao de Despesas de Exercicios Anteriores";"S";5;0;0;NA;2018
"00000192206100000000";"0201";0;4463,01;0;"Restituicao de Despesas de Exercicios Anteriores";"S";6;0;0;NA;2018
"00000192206110000000";"0201";0;4463,01;1;"Restituicao de Despesas de Exercicios Anteriores - Principal";"A";6;0;0;NA;2018
"00000192299000000000";"0201";6445,52;124292,41;0;"Outras Restituicoes";"S";5;0;6445,52;NA;2018
"00000192299100000000";"0201";6445,52;124292,41;0;"Outras Restituicoes";"S";6;0;6445,52;NA;2018
"00000192299110000000";"0201";0;122857,63;0;"Outras Restituicoes - Principal";"S";6;0;0;NA;2018
"00000192299110200000";"0201";0;43157,6;1;"Programa Troca-troca - Principal";"A";7;0;0;NA;2018
"00000192299110400000";"0201";0;47063,23;1;"Restituicao Pelo Pagamento Indevido - Principal";"A";7;0;0;NA;2018
"00000192299110600000";"0201";0;32636,8;1;"Restituicoes do Plano de Assistencia Medica dos Servidores - Principal";"A";7;0;0;NA;2018
"00000192299130000000";"0201";3530,56;439,44;0;"Outras Restituicoes - Divida Ativa";"S";6;0;3530,56;NA;2018
"00000192299130200000";"0201";3530,56;439,44;1;"Programa Troca-troca - Divida Ativa";"A";7;0;3530,56;NA;2018
"00000192299140000000";"0201";2914,96;995,34;0;"Outras Restituicoes - Divida Ativa - Multas e Juros";"S";6;0;2914,96;NA;2018
"00000192299140200000";"0201";2914,96;995,34;1;"Programa Troca-troca - Divida Ativa - Multas e Juros";"A";7;0;2914,96;NA;2018
"00000199000000000000";"0201";60368,37;56345,98;0;"Demais Receitas Correntes";"S";3;0;60368,37;NA;2018
"00000199099000000000";"0201";60368,37;56345,98;0;"Outras Receitas";"S";5;0;60368,37;NA;2018
"00000199099100000000";"0201";0;6783,26;0;"Outras Receitas - Primarias";"S";6;0;0;NA;2018
"00000199099130000000";"0201";0;6535,35;0;"Outras Receitas - Primarias - Divida Ativa";"S";6;0;0;NA;2018
"00000199099130500000";"0201";0;6535,35;1;"Receita de alienacao de sucatas - Divida Ativa";"A";7;0;0;NA;2018
"00000199099140000000";"0201";0;247,91;0;"Outras Receitas - Primarias - Divida Ativa - Multas e Juros";"S";6;0;0;NA;2018
"00000199099140500000";"0201";0;247,91;1;"Receita de alienacao de sucatas - Divida Ativa - Multa e Juros";"A";7;0;0;NA;2018
"00000199099200000000";"0201";60368,37;49562,72;0;"Outras Receitas - Financeiras";"S";6;0;60368,37;NA;2018
"00000199099210000000";"0201";60368,37;49151,58;0;"Outras Receitas - Financeiras - Principal";"S";6;0;60368,37;NA;2018
"00000199099210100000";"0201";34323;0;1;"CONTRAPARTIDA DO SERVIDOR NO AUXILIO-ALIMENTACAO";"A";7;0;34323;NA;2018
"00000199099210200000";"0201";26045,37;49151,58;1;"DESCONTOS OBTIDOS";"A";7;0;26045,37;NA;2018
"00000199099220000000";"0201";0;411,14;1;"Outras Receitas - Financeiras - Multas e Juros";"A";6;0;0;NA;2018
"00000200000000000000";"0201";591700;478819,1;0;"Receitas de Capital";"S";1;0;1461841,88;NA;2018
"00000240000000000000";"0201";591700;475767,64;0;"Transferencias de Capital";"S";2;0;1461841,88;NA;2018
"00000241000000000000";"0201";591700;475767,64;0;"Transferencias da Uniao e de suas Entidades";"S";3;0;1461841,88;NA;2018
"00000241800000000000";"0201";591700;475767,64;0;"Transferencias da Uniao";"S";4;0;1461841,88;NA;2018
"00000241803000000000";"0201";1e+05;109092,64;0;"Transferencias de Recursos do Sistema Unico de Saude – SUS";"S";5;0;180000;NA;2018
"00000241803100000000";"0201";1e+05;109092,64;0;"Transferencias de Recursos do Sistema Unico de Saude – SUS";"S";6;0;180000;NA;2018
"00000241803110000000";"0201";1e+05;109092,64;0;"Transferencias de Recursos do Sistema Unico de Saude – SUS - Principal";"S";6;0;180000;NA;2018
"00000241803110100000";"0201";5000;0;4931;"MATERIAL PERMANENTE PARA ESF PROP.117010/FNS";"A";7;0;5000;NA;2018
"00000241803110200000";"0201";50000;0;4931;"MATERIAL PERMANENTE PARA ESF PROP.117009/FNS";"A";7;0;50000;NA;2018
"00000241803110300000";"0201";45000;0;4931;"VEICULO PARA ESF PROP.117008/FNS";"A";7;0;45000;NA;2018
"00000241803110400000";"0201";0;80000;4936;"AMBULANCIA PORT3673 RV4936";"A";7;0;80000;NA;2018
"00000241803110500000";"0201";0;29092,64;4505;"ORGANIZACAO FARMACIA BLOCO INVESTIMENTO RV 4505";"A";7;0;0;NA;2018
"00000241810000000000";"0201";491700;366675;0;"Transferencia de Convenios da Uniao e de suas Entidades";"S";5;0;1281841,88;NA;2018
"00000241810700000000";"0201";491700;122925;0;"Transferencias de Convenios da Uniao destinadas a Programas de Infra-Estrutura em Transporte";"S";6;0;491700;NA;2018
"00000241810710000000";"0201";491700;122925;0;"Transferencias de Convenios da Uniao destinadas a Programas de Infra-Estrutura em Transporte - Princ";"S";6;0;491700;NA;2018
"00000241810710100000";"0201";245850;0;1203;"PAVIMENTACAO URBANA SICONV PROP.017126/17 CONV847175/17";"A";7;0;245850;NA;2018
"00000241810710200000";"0201";245850;0;1201;"PAVIMENTACAO DE VIAS URBANAS SICONV 034101/16";"A";7;0;245850;NA;2018
"00000241810710300000";"0201";0;122925;1200;"PAVIMENTACAO URBANA SICONV CONV829118/2016 PROP6878/2016 RV1200";"A";7;0;0;NA;2018
"00000241810900000000";"0201";0;243750;0;"Outras Transferencias de Convenios da Uniao";"S";6;0;790141,88;NA;2018
"00000241810910000000";"0201";0;243750;0;"Outras Transferencias de Convenios da Uniao - Principal";"S";6;0;790141,88;NA;2018
"00000241810910100000";"0201";0;243750;1204;"PATRULHA AGRICOLA CONV852132/2017 SICONV903732017 CR1044846-23MAPA RV1204";"A";7;0;243750;NA;2018
"00000241810910200000";"0201";0;0;1205;"PA CARREGADEIRA SICONV043911/2018 RV1205";"A";7;0;243750;NA;2018
"00000241810910300000";"0201";0;0;1206;"PATRULHA AGRICOLA PROP045635/2018SICONV RV1206";"A";7;0;185225,05;NA;2018
"00000241810910400000";"0201";0;0;1207;"PATRULHA AGRICOLA PROP054169/2018SICONV RV1207";"A";7;0;117416,83;NA;2018
"00000290000000000000";"0201";0;3051,46;0;"Outras Receitas de Capital";"S";2;0;0;NA;2018
"00000299000000000000";"0201";0;3051,46;0;"Demais Receitas de Capital";"S";3;0;0;NA;2018
"00000299000100000000";"0201";0;3051,46;0;"Demais Receitas de Capital";"S";6;0;0;NA;2018
"00000299000110000000";"0201";0;3051,46;0;"Demais Receitas de Capital - Principal";"S";6;0;0;NA;2018
"00000299000110200000";"0201";0;3051,46;0;"Remuneracao de Depositos Bancarios - Principal";"S";7;0;0;NA;2018
